dataset,build,node_id,depth,is_leaf,n_points,k,trustworthiness,continuity,mrre_false,mrre_missing,stress,cadi
Digits (Low),0,8,2,True,30,14,0.827731092436975,0.8229691876750702,0.8274581104372986,0.8355655712780722,0.6969596352288407,
Digits (Low),0,9,2,True,52,20,0.8838103756708408,0.8974508050089445,0.8756009703916428,0.8785462704270035,0.6827213771255214,
Digits (Low),0,10,1,False,107,20,0.8907580477673938,0.9044468877893838,0.8996796659261586,0.9136023879403621,0.721052184766471,0.021940562928894056
Digits (Low),0,11,2,True,39,19,0.8394062078272605,0.8511470985155197,0.8753662007480616,0.8786024396229458,0.7465527625526484,
Digits (Low),0,12,2,True,64,20,0.8230410447761194,0.8583955223880597,0.8661866396231116,0.8755888625950125,0.7373148530851269,
Digits (Low),0,13,1,False,192,20,0.8800793343653251,0.8809210526315789,0.9039936262816468,0.9182819316519377,0.6582953885141961,0.03552737611474029
Digits (Low),0,14,2,False,100,20,0.854589928057554,0.8844820143884892,0.8792191091337057,0.9049886415559968,0.7632118072931487,0.028578088137621492
Digits (Low),0,15,3,True,40,19,0.7686602870813397,0.8210526315789473,0.8219299463741777,0.8612925586143628,0.8155531479672897,
Digits (Low),0,16,3,True,33,16,0.7181372549019607,0.7749554367201426,0.8149090049007491,0.8471839626815527,0.6812852808766843,
Digits (Low),0,17,2,True,79,20,0.7977945974161554,0.8181782591674278,0.8272231497795919,0.8388563328200543,0.6962602961120973,
Digits (Low),0,18,1,True,53,20,0.9045702306079664,0.9249895178197064,0.9001368973543211,0.9172972310092099,0.7796057008589978,
Digits (Low),0,19,1,False,161,20,0.9090430974988696,0.9100901929987386,0.9201581102247351,0.9238332570777228,0.6031600308043522,0.028466082865876353
Digits (Low),0,20,2,True,54,20,0.8340425531914893,0.8626477541371159,0.8442505288427882,0.8687700322011326,0.617064544344636,
Digits (Low),0,21,2,False,88,20,0.8759584980237154,0.8866106719367589,0.8876844993594922,0.8996227579905455,0.6400422622844519,0.029190177832597645
Digits (Low),0,22,3,True,27,13,0.87993487993488,0.8945868945868946,0.822899468004124,0.8493813840158864,0.6805523457414636,
Digits (Low),0,23,3,True,32,15,0.8388888888888888,0.8530092592592593,0.830816448557465,0.8485764425080773,0.7365025717971363,
Digits (Low),1,0,0,False,1000,20,0.9612124806601341,0.963745693656524,0.965809881946972,0.9755054200666935,0.5228323632867207,0.02733688638739843
Digits (Low),1,1,1,True,100,20,0.8431294964028778,0.8457625899280573,0.8484361319359434,0.8676239635028593,0.6121136691353585,
Digits (Low),1,2,1,False,102,20,0.889366515837104,0.9100918689153983,0.8979023529750907,0.914322728713043,0.7061453806174054,0.01838915278851311
Digits (Low),1,3,2,True,60,20,0.8492937853107344,0.8638135593220341,0.8760337825078099,0.8918505159355287,0.7209266805136673,
Digits (Low),1,4,2,True,37,18,0.7885253674727358,0.7899478425794216,0.8169325973219502,0.8213382262032605,0.5956806831796689,
Digits (Low),1,5,1,False,107,20,0.8826278174821331,0.9000671919858285,0.9051130101117373,0.9128803718475048,0.7214929546158935,0.023726550461610662
Digits (Low),1,6,2,True,62,20,0.8220942140296977,0.8500000000000002,0.848727586432833,0.8814525886903718,0.7707982899154715,
Digits (Low),1,7,2,True,39,19,0.8201079622132252,0.8394062078272605,0.8663705964870602,0.8687703979850616,0.7433357017646849,
Digits (Low),1,8,1,True,53,20,0.910607966457023,0.9235220125786163,0.8920711688097797,0.9153397041577205,0.7662400587951671,
Digits (Low),1,9,1,False,161,20,0.9059946217367506,0.9100616358487423,0.9161147904983022,0.9242138849817192,0.6089083847370864,0.026894732310099027
Digits (Low),1,10,2,True,89,20,0.8619610102756169,0.8807260155574764,0.8855248144092962,0.8981168701050819,0.6658557435246568,
Digits (Low),1,11,2,True,55,20,0.8390723562152133,0.8578478664192951,0.8421020603448295,0.8582234010361819,0.63563139237252,
Digits (Low),1,12,1,False,92,20,0.8982414280664546,0.9193354542241075,0.9000254831204665,0.9184575147489852,0.6467517715584956,0.0221299976793371
Digits (Low),1,13,2,True,25,12,0.8066666666666665,0.8123076923076923,0.8034352172070165,0.8202035556042071,0.7239681142796456,
Digits (Low),1,14,2,True,31,15,0.8333333333333333,0.8494623655913979,0.8174147791593878,0.8460261477179348,0.7120689509833845,
